annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
DM4_12	22	6	15136	68	4.62693030687674e-10	2.35973445650714e-08
GD_N	6	2	15136	68	0.000294866792383133	0.0075191032057699
Abhydrolase_1	22	2	15136	68	0.00433499463035391	0.0134778012684988
ANF_receptor	20	2	15136	68	0.00358628075816054	0.0134778012684988
Cohesin_load	1	1	15136	68	0.00449260042283295	0.0134778012684988
COR	1	1	15136	68	0.00449260042283295	0.0134778012684988
DUF3337	1	1	15136	68	0.00449260042283295	0.0134778012684988
FAM91_C	1	1	15136	68	0.00449260042283295	0.0134778012684988
FAM91_N	1	1	15136	68	0.00449260042283295	0.0134778012684988
Frataxin_Cyay	1	1	15136	68	0.00449260042283295	0.0134778012684988
HEXIM	1	1	15136	68	0.00449260042283295	0.0134778012684988
Lig_chan-Glu_bd	13	2	15136	68	0.00150244085675983	0.0134778012684988
MITF_TFEB_C_3_N	1	1	15136	68	0.00449260042283295	0.0134778012684988
PACT_coil_coil	1	1	15136	68	0.00449260042283295	0.0134778012684988
RNA_pol_Rpc34	1	1	15136	68	0.00449260042283295	0.0134778012684988
TMEM237	1	1	15136	68	0.00449260042283295	0.0134778012684988
Ufm1	1	1	15136	68	0.00449260042283295	0.0134778012684988
Ank_2	82	3	15136	68	0.00596267039522121	0.0168942327864601
Lig_chan	27	2	15136	68	0.00649240430889254	0.0174269799870274
IMD	2	1	15136	68	0.00896531288872293	0.0182892382929948
MAM	2	1	15136	68	0.00896531288872293	0.0182892382929948
Mo25	2	1	15136	68	0.00896531288872293	0.0182892382929948
Roc	2	1	15136	68	0.00896531288872293	0.0182892382929948
Somatomedin_B	2	1	15136	68	0.00896531288872293	0.0182892382929948
zf-C3Hc3H	2	1	15136	68	0.00896531288872293	0.0182892382929948
Frag1	3	1	15136	68	0.0134182241298731	0.0228109810207843
Glyco_transf_43	3	1	15136	68	0.0134182241298731	0.0228109810207843
Glyco_transf_92	3	1	15136	68	0.0134182241298731	0.0228109810207843
GSHPx	3	1	15136	68	0.0134182241298731	0.0228109810207843
Peptidase_C78	3	1	15136	68	0.0134182241298731	0.0228109810207843
ZU5	5	1	15136	68	0.0222649880056589	0.0366294963964066
DDE_Tnp_4	6	1	15136	68	0.026659012248314	0.0424878007707505
Death	7	1	15136	68	0.0310335784854004	0.0479609849319825
Ank_5	9	1	15136	68	0.039724676118989	0.0578845280590983
Sushi	9	1	15136	68	0.039724676118989	0.0578845280590983
Cpn60_TCP1	11	1	15136	68	0.0483389556206876	0.0684801871293074
BTB_2	12	1	15136	68	0.0526174978367402	0.0706182207808881
LRR_4	12	1	15136	68	0.0526174978367402	0.0706182207808881
Trypsin	337	4	15136	68	0.0648494879304408	0.0848031765244226
Ank_4	16	1	15136	68	0.069542950779658	0.0886672622440639
CBM_14	101	2	15136	68	0.0756291842166086	0.0940753267084644
Ank	23	1	15136	68	0.0984485129026066	0.116764515303092
zf-RING_2	23	1	15136	68	0.0984485129026066	0.116764515303092
SH3_1	26	1	15136	68	0.11056406144729	0.128153798495723
WD40	131	2	15136	68	0.117240047464387	0.132872053792972
Glyco_hydro_18	32	1	15136	68	0.134315893641789	0.148915447298505
Fibrinogen_C	50	1	15136	68	0.201884666679506	0.219066340439464
Pkinase_Tyr	53	1	15136	68	0.212629293342155	0.225918624176039
LRR_8	147	1	15136	68	0.485788464173124	0.505616564751619
Pkinase	160	1	15136	68	0.515314497009032	0.525620786949212
Chitin_bind_4	167	1	15136	68	0.530514568469315	0.530514568469315
