ox_code	p2_dtc_prediction	p2_rfc_prediction	p2_umap_0	p2_umap_1
AA0040-Ca	0	0	inf	inf
AA0040-Cb	0	0	inf	inf
AA0041-Ca	0	0	inf	inf
AA0041-Cb	0	0	inf	inf
AA0042-Ca	0	0	inf	inf
AA0042-Cb	0	0	inf	inf
AA0043-Ca	0	0	inf	inf
AA0043-Cb	0	0	inf	inf
AA0044-Ca	0	0	inf	inf
AA0044-Cb	0	0	inf	inf
AA0048-Ca	0	0	-4.565323829650879	15.184865951538086
AA0048-Cb	0	0	-6.441573619842529	16.19617462158203
AA0049-Ca	0	0	-4.409407138824463	15.016094207763672
AA0049-Cb	0	0	-4.526615619659424	14.909490585327148
AA0050-Ca	0	0	-5.9168171882629395	16.776134490966797
AA0050-Cb	0	0	-6.069239139556885	16.532470703125
AA0051-Ca	0	0	inf	inf
AA0051-Cb	0	0	inf	inf
AA0052-Ca	0	0	inf	inf
AA0052-Cb	0	0	inf	inf
AA0053-Ca	0	0	inf	inf
AA0053-Cb	0	0	inf	inf
AA0054-Ca	0	0	inf	inf
AA0054-Cb	0	0	inf	inf
AA0055-Ca	0	0	inf	inf
AA0055-Cb	0	0	inf	inf
AA0056-Ca	0	0	inf	inf
AA0056-Cb	0	0	inf	inf
AA0060-Ca	0	0	-4.520584583282471	16.25608253479004
AA0060-Cb	0	0	-6.192646503448486	16.39065170288086
AA0061-Ca	0	0	-6.221160888671875	16.583349227905273
AA0061-Cb	0	0	-5.930713176727295	16.8143310546875
AA0063-Ca	0	0	inf	inf
AA0063-Cb	0	0	inf	inf
AA0064-Ca	0	0	inf	inf
AA0064-Cb	0	0	inf	inf
AA0066-Ca	0	0	inf	inf
AA0066-Cb	0	0	inf	inf
AA0067-Ca	0	0	inf	inf
AA0067-Cb	0	0	inf	inf
AA0068-Ca	0	0	inf	inf
AA0068-Cb	0	0	inf	inf
AA0072-Ca	0	0	-2.6859755516052246	15.21777629852295
