model	n	anova_test	p	deviance_residual	df_residual	CI	variables	call
all	167	Chisq	2.03451793424478e-12	177.379290106641	163	0.95	ratio_FAM_HEX	glmer(formula = phenotype ~ ratio_FAM_HEX + (1 | Location) +     (1 | species), data = data, family = binomial)
BKE col	78	Chisq	1.35349996059625e-09	70.934284131479	75	0.95	ratio_FAM_HEX	glmer(formula = phenotype ~ ratio_FAM_HEX + (1 | Location), data = data,     family = binomial)
BKE gam	89	Chisq	0.000138680830700797	100.4629223657	86	0.95	ratio_FAM_HEX	glmer(formula = phenotype ~ ratio_FAM_HEX + (1 | Location), data = data,     family = binomial)
BKE col Aboisso	11	Chisq	0.00133309739194025	4.86207664594926	9	0.95	ratio_FAM_HEX	glm(formula = phenotype ~ ratio_FAM_HEX, family = binomial, data = data)
BKE col Korle-Bu	46	Chisq	3.03767106919231e-07	33.4072657995992	43	0.95	ratio_FAM_HEX,CNV	glm(formula = phenotype ~ ratio_FAM_HEX + CNV, family = binomial,     data = data)
BKE col Weija	21	Chisq	0.0029715514102942	17.4272023185751	18	0.95	ratio_FAM_HEX,CNV	glm(formula = phenotype ~ ratio_FAM_HEX + CNV, family = binomial,     data = data)
BKE gam Aboisso	31	Chisq	NA	38.9855624338144	30	0.95		glm(formula = phenotype ~ 1, family = binomial, data = data)
BKE gam Baguida	13	Chisq	NA	17.9448275764889	12	0.95		glm(formula = phenotype ~ 1, family = binomial, data = data)
BKE gam Madina	19	Chisq	2.13690189349606e-06	3.81908502025175	17	0.95	ratio_FAM_HEX	glm(formula = phenotype ~ ratio_FAM_HEX, family = binomial, data = data)
BKE gam Obuasi	26	Chisq	0.0374577013049764	17.995317766218	24	0.95	CNV	glm(formula = phenotype ~ CNV, family = binomial, data = data)
