Serial	Country	Year	Location	Ace1_G119S	GPS_coordinates	Collection_date	Contact	Method	CollectionID	phenotypic_bioassay_date	phenotypic_bioassay_method	Insecticide	Concentration_x	Concentration_percentage	Exposure_min	Plate_name	Plate_code	Sample_ID	phenotype	DNA_extraction_method	DNA_extraction_date	DNA_conc_ngul	DNA_100ul	Species	species_id_method	PlateNo	Well	HEX_Ct_dR	FAM_Ct_dR	HEX_dR_last	Threshold_HEX_dR	FAM_dR_last	Threshold_FAM_dR	FAM_Ct-HEX_Ct
1	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D01	Dead	nexttec_1_step	18/02/20	1.66	165.9	col	New SINE									
2	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D02	Dead	nexttec_1_step	18/02/20	1.69	168.7	gam	New SINE									
3	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D03	Dead	nexttec_1_step	18/02/20	1.51	151.4	gam	New SINE									
4	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D04	Dead	nexttec_1_step	18/02/20	3.74	373.6	col	New SINE									
5	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D05	Dead	nexttec_1_step	18/02/20	3.25	325.4	col	New SINE									
6	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D06	Dead	nexttec_1_step	18/02/20	4.25	424.6	col	New SINE									
7	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D07	Dead	nexttec_1_step	18/02/20	1.96	195.6	col	New SINE									
8	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D08	Dead	nexttec_1_step	18/02/20	2.38	238	col	New SINE									
9	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D09	Dead	nexttec_1_step	18/02/20	3.38	338.4	gam	New SINE									
10	Ghana	2017	Madina	NA	05 40 60N 0 10 0W 		Samuel Dadzie	Larvae		02.11.2017	Tube	Deltamethrin	1x	0.05	60	GH2017_Plate1	423 7231 17 001	GH17MDNDel_D10	Dead	nexttec_1_step	18/02/20	1.15	114.5	gam	New SINE									
