model	CIcol G280S~resistance
num_obs	71
anova_test	Chisq
p	0.0007615292
deviance_residual	85.95025
df_residual	69
CI	0.95
variables	Ace1GS
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol G280S~resistance	Intercept	2.35046283055305e-08	0	Inf	17.5660684860167	-2567.09091752882	2602.22305450086	0.0133204760898045	0.989372112079694
CIcol G280S~resistance	Ace1GS	42544812.323823	0	Inf	-17.5660684860167	-2602.22310244456	2567.09096547253	-0.0133204758427183	0.989372112276822

model	CIcol G280S 1nALT~resistance
num_obs	36
anova_test	Chisq
p	0.116496
deviance_residual	22.6521
df_residual	34
CI	0.95
variables	Ace1GS
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol G280S 1nALT~resistance	Intercept	3.18100544939348e-09	0	Inf	19.5660685110738	-7006.25994322907	7045.39208025122	0.00545826064247353	0.995644959729212
CIcol G280S 1nALT~resistance	Ace1GS	54672350.061966	0	Inf	-17.8168686562646	-7043.64296062787	7008.00922331534	-0.00497029394500137	0.996034295526648

model	CIcol S65A~resistance
num_obs	71
anova_test	Chisq
p	0.2802754
deviance_residual	94.73901
df_residual	68
CI	0.95
variables	A65S1,A65S2
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol S65A~resistance	Intercept	6.38922075336358e-08	0	Inf	16.5660684308296	-3308.97213624543	3342.10427310708	0.00976350157222531	0.99220997660159
CIcol S65A~resistance	A65S1	14086224.8268103	0	Inf	-16.4607079151718	-3341.9989735571	3309.07755772675	-0.00970140533551867	0.992259519883693
CIcol S65A~resistance	A65S2	11303760.6634897	0	Inf	-16.240646030395	-3341.77892722227	3309.29763516148	-0.0095717079804083	0.992362998596045

model	CIcol CNV~resistance
num_obs	71
anova_test	Chisq
p	6.425623e-10
deviance_residual	59.09528
df_residual	69
CI	0.95
variables	Ace1
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol CNV~resistance	Intercept	4.02147437785293e-05	5.1998294279469e-07	0.00311015128396492	10.1212768689196	5.77308390961238	14.4694698282268	4.56220281075137	5.06197149743698e-06
CIcol CNV~resistance	Ace1	16.9150809578452	5.05549639482659	56.5958199679954	-2.82820558837819	-4.03593513032637	-1.62047604643	-4.58975366716166	4.43769402883241e-06

model	CIcol nALT~resistance
num_obs	71
anova_test	Chisq
p	8.96421e-10
deviance_residual	59.74482
df_residual	69
CI	0.95
variables	Ace1
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol nALT~resistance	Intercept	0.0179858450609987	0.00275630479106353	0.117363879207797	4.01817021594932	2.14247609177585	5.89386434012279	4.19869572843202	2.6845675424724e-05
CIcol nALT~resistance	Ace1	10.680878874683	3.59316105822784	31.7495296444947	-2.36845512178326	-3.45787791088234	-1.27903233268417	-4.26105161755746	2.0346722884356e-05

model	CIcol all~resistance (BIC)
num_obs	71
anova_test	Chisq
p	6.425623e-10
deviance_residual	59.09528
df_residual	69
CI	0.95
variables	CNV
call	glm(formula = phenotype ~ CNV, family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol all~resistance (BIC)	Intercept	4.02147437785293e-05	5.1998294279469e-07	0.00311015128396492	10.1212768689196	5.77308390961238	14.4694698282268	4.56220281075137	5.06197149743698e-06
CIcol all~resistance (BIC)	CNV	16.9150809578452	5.05549639482659	56.5958199679954	-2.82820558837819	-4.03593513032637	-1.62047604643	-4.58975366716166	4.43769402883241e-06

model	CIcol all~resistance (full)
num_obs	71
anova_test	Chisq
p	2.704745e-08
deviance_residual	53.61482
df_residual	65
CI	0.95
variables	A65S1,A65S2,G280S1,CNV,estimated_n_ALT
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol all~resistance (full)	Intercept	3.20303668605992e-10	0	Inf	21.8617516057231	-9017.889133332	9061.61263654345	0.00473998081712327	0.996218056649271
CIcol all~resistance (full)	A65S1	1.15418315514778	0	Inf	-0.143392868791917	-10216.9508897873	10216.6641040497	-2.75080898369477e-05	0.999978051719825
CIcol all~resistance (full)	A65S2	0.2854183301642	0	Inf	1.25379934977827	-10215.5537998948	10218.0613985944	0.000240525383837789	0.999808088511605
CIcol all~resistance (full)	G280S1	1416530.87825047	0	Inf	-14.1637213969918	-4775.05481493692	4746.72737214294	-0.00583092183369441	0.995347623856855
CIcol all~resistance (full)	CNV	5.1957528933375	0.559361893926509	48.2618648530459	-1.64784154058308	-3.87664170124571	0.580958620079551	-1.44908015028661	0.147315200656774
CIcol all~resistance (full)	estimated_n_ALT	3.8905761098282	0.600044088649454	25.2257838260428	-1.35855724687751	-3.22786663913818	0.51075214538317	-1.42444224901454	0.154318491448115

