
model	nALT+G280S v G280S
num_obs	71
anova_test	Chisq
p	2.564317e-07
deviance_residual	59.39744
df_residual	68
CI	0.95
variables	G280S1,estimated_n_ALT
call	glm(formula = phenotype ~ G280S + estimated_n_ALT, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
nALT+G280S v G280S	Intercept	8.64686933571987e-09	0	Inf	18.5660685080202	-4242.81284403196	4279.944981048	0.00853921379841191	0.993186775950261
nALT+G280S v G280S	G280S1	2453616.02868365	0	Inf	-14.7130734244816	-4276.09244116142	4246.66629431245	-0.00676707974704248	0.994600692756889
nALT+G280S v G280S	estimated_n_ALT	9.75810869009502	3.12926606302306	30.4290793080468	-2.27809859989433	-3.4153987073896	-1.14079849239907	-3.92595690407301	8.63856225540364e-05

model	CNV+G280S v G280S
num_obs	71
anova_test	Chisq
p	1.9593e-07
deviance_residual	58.8774
df_residual	68
CI	0.95
variables	G280S1,CNV
call	glm(formula = phenotype ~ G280S + CNV, family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CNV+G280S v G280S	Intercept	3.45368810520012e-11	0	Inf	24.0889933468819	-4237.29065303415	4285.46863972791	0.0110794069765198	0.991160093085517
CNV+G280S v G280S	G280S1	1494581.67792449	0	Inf	-14.2173569115543	-4275.59677035787	4247.16205653477	-0.00653908155046497	0.994782604971356
CNV+G280S v G280S	CNV	15.8229658520041	4.52204902084723	55.3656643701709	-2.76146241961053	-4.01395962490054	-1.50896521432051	-4.32126064971477	1.55140278754665e-05

model	FULL v nALT+G280S
num_obs	71
anova_test	Chisq
p	0.1575466
deviance_residual	57.39982
df_residual	67
CI	0.95
variables	G280S1,estimated_n_ALT,CNV
call	glm(formula = phenotype ~ G280S + estimated_n_ALT + CNV, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
FULL v nALT+G280S	Intercept	3.89336785808785e-10	0	Inf	21.6665763735883	-4239.71466148639	4283.04781423357	0.00996524530197754	0.99204901622604
FULL v nALT+G280S	G280S1	1466935.52989856	0	Inf	-14.19868610926	-4275.57811401852	4247.1807418	-0.00653049414461372	0.994789456583607
FULL v nALT+G280S	estimated_n_ALT	3.0652073464738	0.47516491626478	19.7731266667034	-1.12011521684679	-2.98432377676194	0.74409334306836	-1.17765014642723	0.238936109410089
FULL v nALT+G280S	CNV	4.71266673227271	0.508243174023285	43.6980344539805	-1.55025393300187	-3.77730312292021	0.676795256916482	-1.36433532287027	0.172462053551818

model	FULL v CNV+G280S
num_obs	71
anova_test	Chisq
p	0.2241548
deviance_residual	57.39982
df_residual	67
CI	0.95
variables	G280S1,estimated_n_ALT,CNV
call	glm(formula = phenotype ~ G280S + estimated_n_ALT + CNV, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
FULL v CNV+G280S	Intercept	3.89336785808785e-10	0	Inf	21.6665763735883	-4239.71466148639	4283.04781423357	0.00996524530197754	0.99204901622604
FULL v CNV+G280S	G280S1	1466935.52989856	0	Inf	-14.19868610926	-4275.57811401852	4247.1807418	-0.00653049414461372	0.994789456583607
FULL v CNV+G280S	estimated_n_ALT	3.0652073464738	0.47516491626478	19.7731266667034	-1.12011521684679	-2.98432377676194	0.74409334306836	-1.17765014642723	0.238936109410089
FULL v CNV+G280S	CNV	4.71266673227271	0.508243174023285	43.6980344539805	-1.55025393300187	-3.77730312292021	0.676795256916482	-1.36433532287027	0.172462053551818

model	FULL v BIC (CNV)
num_obs	71
anova_test	Chisq
p	0.428387
deviance_residual	57.39982
df_residual	67
CI	0.95
variables	G280S1,estimated_n_ALT,CNV
call	glm(formula = phenotype ~ G280S + estimated_n_ALT + CNV, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
FULL v BIC (CNV)	Intercept	3.89336785808785e-10	0	Inf	21.6665763735883	-4239.71466148639	4283.04781423357	0.00996524530197754	0.99204901622604
FULL v BIC (CNV)	G280S1	1466935.52989856	0	Inf	-14.19868610926	-4275.57811401852	4247.1807418	-0.00653049414461372	0.994789456583607
FULL v BIC (CNV)	estimated_n_ALT	3.0652073464738	0.47516491626478	19.7731266667034	-1.12011521684679	-2.98432377676194	0.74409334306836	-1.17765014642723	0.238936109410089
FULL v BIC (CNV)	CNV	4.71266673227271	0.508243174023285	43.6980344539805	-1.55025393300187	-3.77730312292021	0.676795256916482	-1.36433532287027	0.172462053551818

