model	CIcol G280S~resistance
num_obs	71
anova_test	Chisq
p	0.0007615292
deviance_residual	85.95025
df_residual	69
CI	0.95
variables	Ace1GS
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol G280S~resistance	Intercept	2.35046283055305e-08	0	Inf	17.5660684860167	-2567.09091752882	2602.22305450086	0.0133204760898045	0.989372112079694
CIcol G280S~resistance	Ace1GS	42544812.323823	0	Inf	-17.5660684860167	-2602.22310244456	2567.09096547253	-0.0133204758427183	0.989372112276822

model	CIcol G280S 1nALT~resistance
num_obs	36
anova_test	Chisq
p	0.116496
deviance_residual	22.6521
df_residual	34
CI	0.95
variables	Ace1GS
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol G280S 1nALT~resistance	Intercept	3.18100544939348e-09	0	Inf	19.5660685110738	-7006.25994322907	7045.39208025122	0.00545826064247353	0.995644959729212
CIcol G280S 1nALT~resistance	Ace1GS	54672350.061966	0	Inf	-17.8168686562646	-7043.64296062787	7008.00922331534	-0.00497029394500137	0.996034295526648

model	CIcol S65A~resistance
num_obs	36
anova_test	Chisq
p	0.116496
deviance_residual	22.6521
df_residual	34
CI	0.95
variables	A65SGS
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol S65A~resistance	Intercept	3.18100544939348e-09	0	Inf	19.5660685110738	-7006.25994322907	7045.39208025122	0.00545826064247353	0.995644959729212
CIcol S65A~resistance	A65SGS	54672350.061966	0	Inf	-17.8168686562646	-7043.64296062787	7008.00922331534	-0.00497029394500137	0.996034295526648

model	CIcol CNV~resistance
num_obs	71
anova_test	Chisq
p	6.425623e-10
deviance_residual	59.09528
df_residual	69
CI	0.95
variables	Ace1
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol CNV~resistance	Intercept	4.02147437785293e-05	5.1998294279469e-07	0.00311015128396492	10.1212768689196	5.77308390961238	14.4694698282268	4.56220281075137	5.06197149743698e-06
CIcol CNV~resistance	Ace1	16.9150809578452	5.05549639482659	56.5958199679954	-2.82820558837819	-4.03593513032637	-1.62047604643	-4.58975366716166	4.43769402883241e-06

model	CIcol nALT~resistance
num_obs	71
anova_test	Chisq
p	8.96421e-10
deviance_residual	59.74482
df_residual	69
CI	0.95
variables	Ace1
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol nALT~resistance	Intercept	0.0179858450609987	0.00275630479106353	0.117363879207797	4.01817021594932	2.14247609177585	5.89386434012279	4.19869572843202	2.6845675424724e-05
CIcol nALT~resistance	Ace1	10.680878874683	3.59316105822784	31.7495296444947	-2.36845512178326	-3.45787791088234	-1.27903233268417	-4.26105161755746	2.0346722884356e-05

