model	CIcol G280S~resistance
num_obs	71
anova_test	Chisq
p	0.0007615292
deviance_residual	85.95025
df_residual	69
CI	0.95
variables	Ace1GS
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol G280S~resistance	Intercept	2.35046283061267e-08	0	Inf	17.5660684859914	-2567.09091745822	2602.2230544302	0.0133204760901493	0.989372112079419
CIcol G280S~resistance	Ace1GS	42544812.3227432	0	Inf	-17.5660684859914	-2602.2231023739	2567.09096540192	-0.0133204758430631	0.989372112276547
model	CIcol G280S 1nALT~resistance
num_obs	36
anova_test	Chisq
p	0.116496
deviance_residual	22.6521
df_residual	34
CI	0.95
variables	Ace1GS
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol G280S 1nALT~resistance	Intercept	3.18100544948671e-09	0	Inf	19.5660685110445	-7006.25994318123	7045.39208020332	0.00545826064250254	0.995644959729189
CIcol G280S 1nALT~resistance	Ace1GS	54672350.0603633	0	Inf	-17.8168686562353	-7043.64296057998	7008.00922326751	-0.00497029394502705	0.996034295526627
model	CIcol S65A~resistance
num_obs	71
anova_test	Chisq
p	0.2802754
deviance_residual	94.73901
df_residual	68
CI	0.95
variables	A65S1,A65S2
call	glm(formula = phenotype ~ ., family = "binomial", data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
CIcol S65A~resistance	Intercept	6.38922082495432e-08	0	Inf	16.5660684196247	-3308.97213311507	3342.10426995432	0.00976350157484485	0.9922099765995
CIcol S65A~resistance	A65S1	14086224.668975	0	Inf	-16.4607079039668	-3341.99897040433	3309.0775545964	-0.00970140533807954	0.99225951988165
CIcol S65A~resistance	A65S2	11303760.5368318	0	Inf	-16.24064601919	-3341.7789240695	3309.29763203112	-0.00957170798284665	0.9923629985941
